TIME,EVENT_TYPE,EVENT_SOURCE,EVENT_DESTINATION,MAP,INTERFERENCE
0.1,Node_send_file,1,2,0.2,0
0.2,Node_send_file,1,3,0.4,0
0.3,Node_send_file,1,4,0.333,0
0.4,Node_send_file,1,4,0.30,0
0.5,Node_send_file,1,2,0.43,0
0.6,Node_send_file,1,3,0.5,0
0.7,Node_send_file,1,4,0.5,0
0.8,Node_send_file,1,4,0.6,0
0.9,Node_send_file,1,2,0.6,0
1,Node_send_file,1,3,0.8,0
2,Node_send_file,1,4,0.7,0
3,Node_send_file,1,4,0.75,0
5,Node_send_file,1,2,0.9,0
7,Node_send_file,1,3,0.9,0
9,Node_send_file,1,4,0.83,0
10,Node_send_file,1,4,0.92,0
